"id","userId","date","checkIn","checkOut","status","createdAt","otHours","deviceId","shiftId","totalHours"
334,195,"2026-04-06 00:36:44.478","2026-04-06 00:36:44.478",NULL,"PRESENT","2026-04-06 00:36:44.487",NULL,NULL,NULL,NULL
335,85,"2026-04-06 01:54:35.311","2026-04-06 01:54:35.311",NULL,"PRESENT","2026-04-06 01:54:35.315",NULL,NULL,NULL,NULL
336,115,"2026-04-06 01:56:03.294","2026-04-06 01:56:03.294",NULL,"PRESENT","2026-04-06 01:56:03.304",NULL,NULL,NULL,NULL
337,214,"2026-04-06 01:57:28.853","2026-04-06 01:57:28.853",NULL,"PRESENT","2026-04-06 01:57:28.861",NULL,NULL,NULL,NULL
338,83,"2026-04-06 02:01:43.037","2026-04-06 02:01:43.037",NULL,"PRESENT","2026-04-06 02:01:43.04",NULL,NULL,NULL,NULL
339,51,"2026-04-06 02:05:58.299","2026-04-06 02:05:58.299",NULL,"PRESENT","2026-04-06 02:05:58.313",NULL,NULL,NULL,NULL
340,77,"2026-04-06 02:08:38.894","2026-04-06 02:08:38.894",NULL,"PRESENT","2026-04-06 02:08:38.902",NULL,NULL,NULL,NULL
341,145,"2026-04-06 02:10:30.372","2026-04-06 02:10:30.372",NULL,"PRESENT","2026-04-06 02:10:30.381",NULL,NULL,NULL,NULL
342,202,"2026-04-06 02:12:29.516","2026-04-06 02:12:29.516",NULL,"PRESENT","2026-04-06 02:12:29.519",NULL,NULL,NULL,NULL
343,56,"2026-04-06 02:15:01.543","2026-04-06 02:15:01.543",NULL,"PRESENT","2026-04-06 02:15:01.545",NULL,NULL,NULL,NULL
344,57,"2026-04-06 02:15:31.619","2026-04-06 02:15:31.619",NULL,"PRESENT","2026-04-06 02:15:31.628",NULL,NULL,NULL,NULL
345,130,"2026-04-06 02:16:37.171","2026-04-06 02:16:37.171",NULL,"PRESENT","2026-04-06 02:16:37.18",NULL,NULL,NULL,NULL
346,47,"2026-04-06 02:21:40.386","2026-04-06 02:21:40.386",NULL,"PRESENT","2026-04-06 02:21:40.396",NULL,NULL,NULL,NULL
347,60,"2026-04-06 02:22:27.354","2026-04-06 02:22:27.354",NULL,"PRESENT","2026-04-06 02:22:27.357",NULL,NULL,NULL,NULL
348,52,"2026-04-06 02:24:47.291","2026-04-06 02:24:47.291",NULL,"PRESENT","2026-04-06 02:24:47.295",NULL,NULL,NULL,NULL
349,50,"2026-04-06 02:25:04.547","2026-04-06 02:25:04.547",NULL,"PRESENT","2026-04-06 02:25:04.555",NULL,NULL,NULL,NULL
350,19,"2026-04-06 02:25:07.567","2026-04-06 02:25:07.567","2026-04-06 03:28:08.011","PRESENT","2026-04-06 02:25:07.569","0",NULL,NULL,"1.05"
351,54,"2026-04-06 02:28:29.633","2026-04-06 02:28:29.633",NULL,"PRESENT","2026-04-06 02:28:29.636",NULL,NULL,NULL,NULL
352,49,"2026-04-06 02:33:37.619","2026-04-06 02:33:37.619",NULL,"PRESENT","2026-04-06 02:33:37.622",NULL,NULL,NULL,NULL
353,86,"2026-04-06 02:35:50.739","2026-04-06 02:35:50.739",NULL,"PRESENT","2026-04-06 02:35:50.748",NULL,NULL,NULL,NULL
354,190,"2026-04-06 02:38:12.356","2026-04-06 02:38:12.356",NULL,"PRESENT","2026-04-06 02:38:12.359",NULL,NULL,NULL,NULL
355,90,"2026-04-06 02:38:51.67","2026-04-06 02:38:51.67",NULL,"PRESENT","2026-04-06 02:38:51.679",NULL,NULL,NULL,NULL
356,110,"2026-04-06 02:39:52.759","2026-04-06 02:39:52.759",NULL,"PRESENT","2026-04-06 02:39:52.762",NULL,NULL,NULL,NULL
357,124,"2026-04-06 02:41:39.458","2026-04-06 02:41:39.458",NULL,"PRESENT","2026-04-06 02:41:39.461",NULL,NULL,NULL,NULL
358,72,"2026-04-06 02:42:07.854","2026-04-06 02:42:07.854",NULL,"PRESENT","2026-04-06 02:42:07.864",NULL,NULL,NULL,NULL
359,102,"2026-04-06 02:42:29.984","2026-04-06 02:42:29.984",NULL,"PRESENT","2026-04-06 02:42:29.992",NULL,NULL,NULL,NULL
360,118,"2026-04-06 02:45:13.537","2026-04-06 02:45:13.537",NULL,"PRESENT","2026-04-06 02:45:13.54",NULL,NULL,NULL,NULL
361,191,"2026-04-06 02:45:23.966","2026-04-06 02:45:23.966",NULL,"PRESENT","2026-04-06 02:45:23.969",NULL,NULL,NULL,NULL
362,100,"2026-04-06 02:46:22.226","2026-04-06 02:46:22.226",NULL,"PRESENT","2026-04-06 02:46:22.235",NULL,NULL,NULL,NULL
363,76,"2026-04-06 02:48:10.154","2026-04-06 02:48:10.154",NULL,"PRESENT","2026-04-06 02:48:10.157",NULL,NULL,NULL,NULL
364,111,"2026-04-06 02:48:20.041","2026-04-06 02:48:20.041",NULL,"PRESENT","2026-04-06 02:48:20.044",NULL,NULL,NULL,NULL
365,192,"2026-04-06 02:48:24.271","2026-04-06 02:48:24.271",NULL,"PRESENT","2026-04-06 02:48:24.274",NULL,NULL,NULL,NULL
366,66,"2026-04-06 02:48:26.852","2026-04-06 02:48:26.852",NULL,"PRESENT","2026-04-06 02:48:26.855",NULL,NULL,NULL,NULL
367,112,"2026-04-06 02:48:38.686","2026-04-06 02:48:38.686",NULL,"PRESENT","2026-04-06 02:48:38.688",NULL,NULL,NULL,NULL
