id,userId,date,checkIn,checkOut,status,createdAt,otHours,deviceId,shiftId,totalHours
334,195,2026-04-07 00:41:44,2026-04-07 00:41:44,NULL,PRESENT,2026-04-07 00:41:44,NULL,NULL,NULL,NULL
335,85,2026-04-07 01:59:35,2026-04-07 01:59:35,NULL,PRESENT,2026-04-07 01:59:35,NULL,NULL,NULL,NULL
336,115,2026-04-07 02:01:03,2026-04-07 02:01:03,NULL,PRESENT,2026-04-07 02:01:03,NULL,NULL,NULL,NULL
337,214,2026-04-07 02:02:28,2026-04-07 02:02:28,NULL,PRESENT,2026-04-07 02:02:28,NULL,NULL,NULL,NULL
338,83,2026-04-07 02:06:43,2026-04-07 02:06:43,NULL,PRESENT,2026-04-07 02:06:43,NULL,NULL,NULL,NULL
339,51,2026-04-07 02:10:58,2026-04-07 02:10:58,NULL,PRESENT,2026-04-07 02:10:58,NULL,NULL,NULL,NULL
340,77,2026-04-07 02:13:38,2026-04-07 02:13:38,NULL,PRESENT,2026-04-07 02:13:38,NULL,NULL,NULL,NULL
341,145,2026-04-07 02:15:30,2026-04-07 02:15:30,NULL,PRESENT,2026-04-07 02:15:30,NULL,NULL,NULL,NULL
342,202,2026-04-07 02:17:29,2026-04-07 02:17:29,NULL,PRESENT,2026-04-07 02:17:29,NULL,NULL,NULL,NULL
343,56,2026-04-07 02:20:01,2026-04-07 02:20:01,NULL,PRESENT,2026-04-07 02:20:01,NULL,NULL,NULL,NULL
344,57,2026-04-07 02:20:31,2026-04-07 02:20:31,NULL,PRESENT,2026-04-07 02:20:31,NULL,NULL,NULL,NULL
345,130,2026-04-07 02:21:37,2026-04-07 02:21:37,NULL,PRESENT,2026-04-07 02:21:37,NULL,NULL,NULL,NULL
346,47,2026-04-07 02:26:40,2026-04-07 02:26:40,NULL,PRESENT,2026-04-07 02:26:40,NULL,NULL,NULL,NULL
347,60,2026-04-07 02:27:27,2026-04-07 02:27:27,NULL,PRESENT,2026-04-07 02:27:27,NULL,NULL,NULL,NULL
348,52,2026-04-07 02:29:47,2026-04-07 02:29:47,NULL,PRESENT,2026-04-07 02:29:47,NULL,NULL,NULL,NULL
349,50,2026-04-07 02:30:04,2026-04-07 02:30:04,NULL,PRESENT,2026-04-07 02:30:04,NULL,NULL,NULL,NULL
350,19,2026-04-07 02:30:07,2026-04-07 02:30:07,NULL,PRESENT,2026-04-07 02:30:07,NULL,NULL,NULL,NULL
351,54,2026-04-07 02:33:29,2026-04-07 02:33:29,NULL,PRESENT,2026-04-07 02:33:29,NULL,NULL,NULL,NULL
352,49,2026-04-07 02:38:37,2026-04-07 02:38:37,NULL,PRESENT,2026-04-07 02:38:37,NULL,NULL,NULL,NULL
353,86,2026-04-07 02:40:50,2026-04-07 02:40:50,NULL,PRESENT,2026-04-07 02:40:50,NULL,NULL,NULL,NULL
354,190,2026-04-07 02:43:12,2026-04-07 02:43:12,NULL,PRESENT,2026-04-07 02:43:12,NULL,NULL,NULL,NULL
355,90,2026-04-07 02:43:51,2026-04-07 02:43:51,NULL,PRESENT,2026-04-07 02:43:51,NULL,NULL,NULL,NULL
